song_id,song_name,release_data,runtime,genre,lyrics,album_id
1,Monster,2020-12-04,179,pop,But what if I what if I trip? What if I what if I fall? Then am I the monster? Just let me know And what if I what if I sin? And what if I what if I break? Yeah Then am I the monster? Yeah Just let me know yeah,1
2,Take Care,2011-11-15,277,pop,I know you've been hurt by someone else I can tell by the way you carry yourself If you let me here's what I'll do I'll take care of you I've loved and I've lost I've asked about you and they told me things But my mind didn't change and I still feel the same What's a life with no fun? Please don't be so ashamed I've had mine you've had yours we both know we know They won't get you like I will my only wish is I die real 'Cause that truth hurts and those lies heal,3
3,Baby,2010-03-19,214,pop,My first love broke my heart for the first time And I was like baby baby baby oh Like baby baby baby no Like baby baby baby oh,4
4,Treat you better,2016-09-23,188,pop,I won't lie to you I know he's just not right for you And you can tell me if I'm off But I see it on your face When you say that he's the one that you want And you're spending all your time In this wrong situation And anytime you want it to stop I know I can treat you better Than he can And any girl like you deserves a gentleman Tell me why are we wasting time On all your wasted cryin' When you should be with me instead I know I can treat you better Better than he can,6
5,Blinding Lights,2020-03-20,200,pop,I said ooh I'm blinded by the lights No I can't sleep until I feel your touch I said ooh I'm drowning in the night Oh when I'm like this you're the one I trust,2
6,Life Of The Party,2015-04-14,215,pop,We don't have to be ordinary Make your best mistakes 'Cause we don't have the time to be sorry So baby be the life of the party I'm telling you to take your shot it might be scary Hearts are gonna break 'Cause we don't have the time to be sorry So baby be the life of the party,7
7,Courage,2019-11-15,255,pop,I would be lying if I said: "I'm fine" I think of you at least a hundred times 'Cause in the echo of my voice I hear your words,5
8,Mercy,2016-09-23,209,pop,You've got a hold of me Don't even know your power I stand a hundred feet But I fall when I'm around ya Show me an open door Then you go and slam it on me I can't take anymore I'm saying baby,6
